Follow;Seguire
Assign member ranks;Assegnare i gradi dei membri
Combat Achievement task broadcasts;Trasmissioni di compiti di conseguimento del combattimento
Last-destination (CLS);Ultima destinazione (CLS)
Edit rank;Modifica classifica
50;50 
Release all placeholders;Rilascia tutti i segnaposto
Enable inventory locks;Abilita i blocchi dell'inventario
Show right-click options;Mostra le opzioni del tasto destro
Unlock-slot;Slot di sblocco
Jump-off;Salta giù
Hurdle;Ostacolo
Pull-spade;Tirare la vanga
Walk-through;Passeggiata
Not now;Non adesso
Jump-Down;Salta giù
Clear all;Cancella tutto
Withdraw-652;Ritiro-652
Deposit-652;Deposito-652
Deposit-57;Deposito-57
Withdraw-66;Ritiro-66
Withdraw-57;Ritiro-57
Withdraw-63;Ritiro-63
Hide <col=ff9040>Minimap</col>;Nascondi <col=ff9040>Minimappa</col>
Show <col=ff9040>Minimap</col>;Mostra <col=ff9040>Minimappa</col>
Remove<col=ff9040> Focus;Rimuovi<col=ff9040> ​​il focus
Default quantity: 57;Quantità predefinita: 57
Select option A;Seleziona l'opzione A
Deposit-208;Deposito-208
Withdraw-208;Ritiro-208
Withdraw-236;Ritiro-236
Default quantity: 208;Quantità predefinita: 208
Stroke;Colpo
Pan;Padella
Gem Mine;Miniera di gemme
Mount Karuulm;Monte Karuulm
Kourend Woodland;Kourend bosco
Withdraw-195;Ritiro-195
Withdraw-2400;Ritiro-2400
Deposit-195;Deposito-195
View Friends List;Visualizza l'elenco degli amici
Add Name;Aggiungi nome
Delete Name;Elimina nome
Water;Acqua
Open link;Apri collegamento
Default quantity: 195;Quantità predefinita: 195
Get-training;Allenarsi
Bank-cargo;Carico bancario
Honour;Onore
Close storage tab;Chiudi la scheda di archiviazione
Charter-to Port Piscarilius;Charter-a Port Piscarilius
Direct-portal;Portale diretto
Deepfin Point;Punto Deepfin
Quiver-Remove;Faretra-Rimuovi
Assign;Assegnare
Port Roberts;Porto Roberts
Check-ammunition;Controllare le munizioni
Command;Comando
Change loadout name;Cambia il nome dell'equipaggiamento
Default quantity: 50,000;Quantità predefinita: 50.000
Open storage tab;Apri la scheda di archiviazione
Reset-ammunition;Ripristino delle munizioni
Stop following Captain's target;Smettila di seguire l'obiettivo del Capitano
Clear target;Obiettivo chiaro
Unassign;Annulla assegnazione
Assign to crew slot 5;Assegna allo slot equipaggio 5
Assign to crew slot 1;Assegna allo slot equipaggio 1
Jatizso;Jatizso
Clear crew slot 1;Cancella lo slot equipaggio 1
Clear crew slot 5;Cancella lo slot dell'equipaggio 5
Neitiznot;Neitiznot
Follow Captain's target;Segui l'obiettivo del Capitano
Cancel task;Annulla attività
Set Hotkey (A);Imposta tasto di scelta rapida (A)
Set Hotkey (3);Imposta tasto di scelta rapida (3)
Set Hotkey (7);Imposta tasto di scelta rapida (7)
Set Hotkey (4);Imposta tasto di scelta rapida (4)
Set Hotkey (8);Imposta tasto di scelta rapida (8)
Pay (Celastrus tree);Paga (albero Celastrus)
Pay (Spirit tree);Paga (Albero spirituale)
Set Hotkey (9);Imposta tasto di scelta rapida (9)
Pick-coconut;Pick-cocco
Set Hotkey (F);Imposta tasto di scelta rapida (F)
Set Hotkey (B);Imposta tasto di scelta rapida (B)
Set Hotkey (D);Imposta tasto di scelta rapida (D)
Set Hotkey (C);Imposta tasto di scelta rapida (C)
Set Hotkey (5);Imposta tasto di scelta rapida (5)
Set Hotkey (6);Imposta tasto di scelta rapida (6)
Deposit-420000;Deposito-420000
Withdraw-420000;Prelievo-420000
Default quantity: 420,000;Quantità predefinita: 420.000
Last-destination (CJR);Ultima destinazione (CJR)
Last-destination (CIQ);Ultima destinazione (CIQ)
Last-destination (CIR);Ultima destinazione (CIR)
Hang-over;Postumi della sbornia
Withdraw-5529;Ritiro-5529
Deposit-5529;Deposito-5529
Default quantity: 5,529;Quantità predefinita: 5.529
Ardougne Farm;Fattoria d'Ardougne
Dump;Scarico
Withdraw 3;Ritirare 3
Alchemy;Alchimia
Withdraw 4;Ritirare 4
Energy;Energia
Withdraw 1;Ritirare 1
Signal;Segnale
Withdraw X;Ritirare X
Rumour;Voce
Pay (south-west);Paga (sud-ovest)
Pay (north-east);Paga (nord-est)
Pay (tree patch);Paga (toppa sull'albero)
Glade;Radura
Ring-last-destination (AKQ);Chiama l'ultima destinazione (AKQ)
Release wind mote;Rilascia il granello di vento
Release-mote;Movimento di rilascio
Retrieve;Recuperare
Rod-fish;Pesce canna
Summon;Convocare
Remove-Favourite;Rimuovi-Preferiti
Pick-dragonfruit;Raccogli-frutto del drago
Remove Favourite;Rimuovi preferito
Functions;Funzioni
Last-destination (DLP);Ultima destinazione (DLP)
Break-crystals;Cristalli spezzati
Work-at;Al lavoro
Start-previous-rank;Inizio-classifica-precedente
Start-trial;Inizio-prova
Jump-across;Salta attraverso
Last-destination (ALP);Ultima destinazione (ALP)
Sell: 3 x Iron arrow;Vendita: 3 frecce di ferro
Quick-Pay(100);Pagamento veloce(100)
Send-parcel;Invia pacco
Reset Safe;Ripristina cassaforte
Set to 9;Impostato su 9
Raise an Octave.;Alzare un'ottava.
Previous Page.;Pagina precedente.
Next page.;Pagina successiva.
Release all placeholders (89);Rilascia tutti i segnaposto (89)
High-Alchemy;Alta Alchimia
Preach;Predicare
Config;Configurazione
Southern entrance;Ingresso sud
Middle entrance;Ingresso centrale
Northern entrance;Ingresso nord
Deposit loot;Deposita il bottino
Lithkren Dungeon;Dungeon di Lithkren
Climb Down;Scendi
Seeds;Semi
Stun;Stordire
Digsite;Sito di scavo
Set Hotkey (M);Imposta tasto di scelta rapida (M)
Dondakan's Rock;La Roccia di Dondakan
Set Hotkey (I);Imposta tasto di scelta rapida (I)
Set Hotkey (K);Imposta tasto di scelta rapida (K)
Set Hotkey (N);Imposta tasto di scelta rapida (N)
Set Hotkey (L);Imposta tasto di scelta rapida (L)
Last-destination (ALS);Ultima destinazione (ALS)
Descend;Scendere
Weiss;Weiss
Withdraw-503;Ritiro-503
Scoreboard;Tabellone segnapunti
Withdraw-38;Ritiro-38
Default quantity: 38;Quantità predefinita: 38
Withdraw-25;Ritiro-25
Withdraw-604;Ritiro-604
Deposit-26;Deposito-26
Withdraw-26;Ritiro-26
Deposit-25;Deposito-25
Withdraw-220;Ritiro-220
Deposit-36;Deposito-36
Deposit-115;Deposito-115
Withdraw-115;Ritiro-115
Withdraw-36;Ritiro-36
Standard;Standard
Play-fetch;Gioca a prendere
Climb up;Salire
Lletya;Lletya
Default quantity: 115;Quantità predefinita: 115
Target;Bersaglio
Activity;Attività
Enter-corrupted;Enter-corrotto
Area Mode;Modalità area
Single Mode;Modalità singola
Skip Track;Salta traccia
Sing-crystal;Canta-cristallo
Fill-from;Compila da
Set Hotkey (2);Imposta tasto di scelta rapida (2)
Set Hotkey (1);Imposta tasto di scelta rapida (1)
Slayer Master;Maestro uccisore
Unblock;Sbloccare
Raise;Aumentare
Raise net;Alzare la rete
Lower net;Rete inferiore
Lower;Inferiore
Claim-slime;Reclamo-melma
Port Phasmatys;Porto Phasmatys
Charter-to Port Phasmatys;Charter per Port Phasmatys
Deposit-4;Deposito-4
Default quantity: 4;Quantità predefinita: 4
Withdraw-40000;Preleva-40000
Deposit-40000;Deposito-40000
Buy: 1 x Green dragonhide set;Acquista: 1 set di pelle di drago verde
Poke;Colpisci
Jump off;Salta giù
Burgh Teleport;Teletrasporto di Burgh
Ecto Teleport;Ectoteletrasporto
Withdraw-1168;Ritiro-1168
Deposit-1168;Deposito-1168
Store-preform;Negozio-preforma
Commission;Commissione
Quench-preform;Preforma di raffreddamento
Heat-preform;Preformare a caldo
Cool-preform;Preforma fredda
Hand-in;Consegna
Dunk-preform;Dunk-preforma
Pour;Versare
Last-destination (CKP);Ultima destinazione (CKP)
Look-over;Guarda oltre
Awaken;Risvegliarsi
Fuel;Carburante
Next page;Pagina successiva
New partner;Nuovo socio
Remove from playlist 1;Rimuovi dalla playlist 1
Default quantity: 40,000;Quantità predefinita: 40.000
Ascend;Ascendere
Deposit-2194;Deposito-2194
Withdraw-2194;Ritiro-2194
Default quantity: 2,194;Quantità predefinita: 2.194
Destruir;Distruggere
Deposit-300;Deposito-300
Withdraw-300;Ritiro-300
Claim-runes;Rune di rivendicazione
Step-into;Entra
Default quantity: 300;Quantità predefinita: 300
Withdraw-2253;Ritiro-2253
Withdraw-31;Ritiro-31
Withdraw-2236;Ritiro-2236
Deposit-2236;Deposito-2236
Withdraw-2539;Ritiro-2539
Withdraw-5408;Ritiro-5408
Withdraw-527;Ritiro-527
Default quantity: 15;Quantità predefinita: 15
Set Hotkey (E);Imposta tasto di scelta rapida (E)
Cut-vine;Vite tagliata
Camarones;Camarones
Hardcore Ironman Group;Gruppo Ironman hardcore
Default quantity: 2,236;Quantità predefinita: 2.236
Deposit-680;Deposito-680
Withdraw-680;Ritiro-680
Rescue;Salvare
Default quantity: 680;Quantità predefinita: 680
Deposit-4328;Deposito-4328
Withdraw-4328;Ritiro-4328
Withdraw-4952;Ritiro-4952
Withdraw-5944;Ritiro-5944
Deposit-4952;Deposito-4952
Default quantity: 4,952;Quantità predefinita: 4.952
Default quantity: 5,944;Quantità predefinita: 5.944
Withdraw-8376;Ritiro-8376
Withdraw-8480;Ritiro-8480
Deposit-8376;Deposito-8376
Spring;Primavera
Safety switch;Interruttore di sicurezza
Gear;Ingranaggio
Withdraw-11896;Ritiro-11896
Deposit-11896;Deposito-11896
Gandius;Gandio
Kar-Hewo;Kar-Hewo
Swing;Oscillazione
Craft-repair-kits;Kit di riparazione artigianale
Craft-hull-parts;Parti dello scafo artigianale
Contact Master;Contatta il Maestro
View Laps;Visualizza giri
Tarn's Lair;La tana di Tarn
Dark Beasts;Bestie Oscure
Slayer Tower;Torre degli assassini
Toggle Counter;Attiva/disattiva contatore
Open Log;Apri registro
Stronghold;Roccaforte
Fremennik Dungeon;Dungeon di Fremennik
Parler Ã ;Parler Ã 
Retirer-X;Pensionato-X
Activer;Attivo
Retirer-5;Pensionato-5
Suivre;Suivre
Retirer-1;Pensionato-1
Rapport;Rapporto
Retirer-tout;Pensionato-tout
Retirer-10;Pensionato-10
Configurer;Configuratore
Retirer-tout-sauf-1;Pensionato-tout-sauf-1
Commerce;Commercio
Marchez ici;Marchez ici
Ã‰changez avec;Ã‰cambia con
Descendre;Discendente
Banque;Banca
Abattre;Abbattere
Collecter;Collezionista
Ouvrir;Ouvrir
Remove-one;Rimuovi uno
Lap-count;Conteggio dei giri
Cooking;Cucina
Default quantity: 11,896;Quantità predefinita: 11.896
Ban guest;Divieto di ospite
Kick guest;Calcia l'ospite
Assemble;Assemblare
Quick-Board;Tavola veloce
Move Schematic Left;Sposta lo schema a sinistra
Select Schematic Two;Seleziona lo schema due
Select Schematic One;Seleziona lo schema uno
Select Schematic Three;Seleziona lo schema tre
Move Schematic Down;Sposta lo schema verso il basso
Move Schematic Up;Sposta lo schema in alto
Rotate the image;Ruota l'immagine
Move Schematic Right;Sposta lo schema a destra
Jump-through;Salta attraverso
Withdraw-29;Ritiro-29
Deposit-29;Deposito-29
Default quantity: 29;Quantità predefinita: 29
Set Hotkey (J);Imposta tasto di scelta rapida (J)
Set Hotkey (O);Imposta tasto di scelta rapida (O)
Set Hotkey (H);Imposta tasto di scelta rapida (H)
Set Hotkey (G);Imposta tasto di scelta rapida (G)
Last-destination (BJS);Ultima destinazione (BJS)
Check-permissions;Controlla i permessi
Background-music;Musica di sottofondo
Play-quietly;Gioca tranquillamente
Entertain;Intrattenere
Disarm;Disarmare
Sync WOM Group;Sincronizza il gruppo WOM
Withdraw-800;Ritiro-800
Deposit-800;Deposito-800
Retrieve-egg;Recupera-uovo
Expanded;Espanso
Preview auto layout;Anteprima del layout automatico
Toggle warning;Attiva/disattiva avviso
Climb through;Sali attraverso
Check count;Controlla il conteggio
Withdraw-150;Ritiro-150
Disassemble;Smontare
Deposit-150;Deposito-150
Gloomthorn Trail;Sentiero di Gloomthorn
Make party;Fai festa
Destinations;Destinazioni
Reload;Ricaricare
Disband;Sciogliersi
Advertise (15);Pubblicizza (15)
Set-difficulty;Set-difficoltà
Claim-cape;Mantello di rivendicazione
Attract;Attirare
Start raid;Inizia il raid
Impale;Impalare
Bank all;Banca tutto
Smoke Barrage;Sbarramento di fumo
Smoke Blitz;Blitz di fumo
Blood Blitz;Blitz di sangue
Smoke Burst;Scoppio di fumo
Ice Barrage;Sbarramento di ghiaccio
Douse;Spegnere
Blood Barrage;Sbarramento di sangue
Shadow Blitz;Blitz delle ombre
Dispel;Dissipare
Shadow Barrage;Sbarramento d'Ombra
Reap;Raccogli
Bank-all;Banca-tutto
Inferior Demonbane;Sventura dei Demoni Inferiori
North Aldarin;Aldarin Nord
Darkfrost;Gelo scuro
Ralos' Rise;L'ascesa di Ralos
Deposit runes;Deposita rune
Twilight Temple;Tempio del Crepuscolo
Nemus Retreat;Ritiro Nemus
Superior Demonbane;Ammazzademoni superiore
Dark Demonbane;Sventura dei demoni oscuri
Delve-stats;Statistiche di approfondimento
Claim and leave;Reclama e parti
General-stats;Statistiche generali
Teleport to <col=ff8040>Clan Wars</col>;Teletrasportati a <col=ff8040>Guerre tra clan</col>
Join <col=ff8040>Clan Wars</col> channel;Unisciti al canale <col=ff8040>Clan Wars</col>
Use this layout;Usa questo layout
Withdraw-80;Ritiro-80
Quick-slide;Scorrimento veloce
Slide;Diapositiva
Visual-effects;Effetti visivi
Toggle-talisman;Talismano attivato/disattivato
Deposit-runes;Rune di deposito
Power-up;Accensione
Take-chisel;Prendi lo scalpello
Place-cell;Luogo-cella
Take-1;Prendi-1
Dark Mage;Mago Oscuro
View-stats;Visualizza statistiche
View-glory;Vista-gloria
Pluck;Cogli
Inflate;Gonfiare
Claim-arrows;Frecce di reclamo
Release All;Rilascia tutto
Walk through;Attraversalo
Claim-hats;Cappelli da reclamo
Check kills;Controlla le uccisioni
Check-on;Check-in
Take-uniform;Prendi l'uniforme
Listen-at;Ascolta
Watermill;Mulino ad acqua
Mines;Miniere
Cellar;Cantina
Buy-sphere;Sfera d'acquisto
Untie;Sciogliere
Attach/Detach Pipe;Collegare/scollegare il tubo
Glider-to Gandius;Aliante-a Gandius
Take-sigil;Prendi il sigillo
Take-net;Rete da pesca
Melt;Sciolto
Reinvigorate;Rinvigorire
Take-rock;Prendi-rock
Kalphite cave;Grotta di Kalfite
Nardah;Nardah
Make unfinished potion(s);Crea pozioni incompiute
Pages;Pagine
Trollheim;Trollheim
Discard-All;Scarta tutto
Remove-room;Stanza per traslochi
Make <col=ff9040>Gold ring</col>;Realizza <col=ff9040>Anello d'oro</col>
Make <col=ff9040>Gold necklace</col>;Realizza <col=ff9040>Collana d'oro</col>
Swing across;Dondolatevi
Pick-orange;Scegli l'arancia
Buy: 5 x Ranarr seed;Acquista: 5 semi di Ranarr
Deposit buckets;Secchi di deposito
Claim Sand;Richiedi la sabbia
Ferry;Traghetto
Surface;Superficie
Solo-start;Partenza in solitaria
Rotate-right;Ruota a destra
Fill-jug;Riempire la brocca
Align;Allineare
Rotate-left;Ruota a sinistra
Rebalance;Riequilibrare
Cleanse;Purificare
Grab-feather;Afferrare la piuma
Level;Livello
Set Junction;Imposta giunzione
Control;Controllare
Return;Ritorno
Listen-to;Ascolta
Crawl-down;Strisciare giù
Start;Inizio
Use-Driftwood;Usa-Driftwood
View Stats;Visualizza statistiche
Refresh Data;Aggiorna dati
Repairs;Riparazioni
Folgen;Folgen
Attacke;Attaccato
Nehmen;Nehmen
Entfernen;Interessante
Bericht;Bericht
Handeln mit;Handeln mit
Fällen;Caduto
Ausloggen;Ausloggen
Ausüben;Ausüben
Tropfen;Tropfen
Suchen;Suchen
Verwenden;Verwenden
Beten;Bene
Taschendieb;Taschendieb
Handeln;Handeln
Eingeben;Eingeben
Austausch;Austausch
Herabsteigen;Herabsteigen
Hochklettern;Hochklettern
Sammeln;Sammeln
Kochen;Kochen
Kaution;Attenzione
Stehlen von;Stehlen von
Tragen;Tragene
Essen;Essen
aktivieren Sie;attivarti
Sicht;Sicht
Beute;Beute
Bauen;Bauen
Earth Strike;Colpo di Terra
+30%;+30%
Offer-fish;Offerta-pesce
-30%;-30%
Place;Posto
Big-push;Grande spinta
Unhide;Scopri
Stint;Stretto
Preise;Prezzo
Geschichte;Geschichte
Gießen;Gießen
Crack;Crepa
Ignorieren hinzufügen;Ignorare i suggerimenti
Wert;Ebbene sì
Freund hinzufügen;Un caro amico
Heim;Ehi
Baumodus;Baumodo
Haus eines Freundes;Haus eines Freundes
Besorgen;Besorgen
Climb-under;Salire sotto
Jump-Over;Saltare
Store<col=ff9040>;Memorizza<col=ff9040>
Preen;Preen
Tether;Legare
Forfeit;Perdita
Cook-at;Cook-at
Check-ammo;Controlla le munizioni
Untether;Senza legami
Last-destination (BIQ);Ultima destinazione (BIQ)
Last-destination (BIS);Ultima destinazione (BIS)
Last-destination (BIP);Ultima destinazione (BIP)
Crown Info;Informazioni sulla corona
Last-destination (BLR);Ultima destinazione (BLR)
Complete;Completare
Climb over;Scavalcare
Withdraw-56;Ritiro-56
Default quantity: 56;Quantità predefinita: 56
Smash-to-bits;Distruggere in pezzi
Enchant-Vials;Incanta-Fiale
Trade-Co-op;Cooperazione commerciale
Trade-Drinks;Bevande commerciali
Squeeze-Through;Squeeze-Through
Fly;Volare
Relax;Relax
Sandbags;Sacchi di sabbia
Tug;Tirare
Logs;Registri
Bail;Cauzione
Emergency tug;Rimorchiatore d'emergenza
Preferences;Preferenze
Games room;Sala giochi
Combat room;Sala da combattimento
Dining room;Sala da pranzo
Re-light;Riaccendere
Ring-last-destination (AIP);Chiama l'ultima destinazione (AIP)
Spin-globe;Globo rotante
Take-candy;Prendi caramelle
Set destination;Imposta destinazione
Teleport to destination;Teletrasportarsi a destinazione
eat;mangiare
Cast Spell;Lancia incantesimo
Lift;Sollevare
Sell: 28 x Bucket of water;Vendita: 28 x Secchio d'acqua
Buy: 350 x Bucket;Acquista: 350 secchielli
Sell: 392 x Bucket of water;Vendita: 392 x Secchio d'acqua
Withdraw-9;Ritiro-9
Deposit-9;Deposito-9
Withdraw-27;Ritiro-27
Deposit-27;Deposito-27
Sell: 500 x Logs;Vendita: 500 tronchi
Default quantity: 27;Quantità predefinita: 27
Sell: 494 x Banana;Vendi: 494 x Banane
Sell: 390 x Banana;Vendi: 390 x banane
Buy: 400 x Bones;Acquista: 400 ossa
Sell: 300 x Banana;Vendi: 300 banane
cast;lancio
Sell: 416 x Banana;Vendi: 416 x Banane
Default quantity: 9;Quantità predefinita: 9
Sell: 100 x Pastry dough;Vendita: 100 x Pasta frolla
Buy: 200 x Pot of flour;Acquista: 200 x Pentola di farina
Sell: 1,064 x Bucket of water;Vendita: 1.064 x Secchio d'acqua
Sell: 252 x Bucket of water;Vendita: 252 x Secchio d'acqua
Toggle-minerals;Attiva/disattiva minerali
Take-bowl;Ciotola da prendere
Accept exchange;Accetta lo scambio
Insert coin;Inserisci la moneta
Cancel exchange;Annulla lo scambio
Use col;Usa col
Activate machine;Attiva la macchina
Unlock machine;Sblocca la macchina
Cancel operation;Annulla l'operazione
Rank;Rango
Sell: 1,010 x Banana;Vendi: 1.010 banane
Last-destination (CIP);Ultima destinazione (CIP)
Set name;Imposta nome
wield;impugnare
Sell: 99 x Bones;Vendi: 99 x ossa
Sell: 23 x Logs;Vendita: 23 tronchi
Withdraw-25000000;Ritiro-25000000
Sell: 1 x Old school bond;Vendita: 1 x Obbligazione vecchia scuola
Withdraw-100000;Preleva-100000
Deposit-25000000;Deposito-25000000
Buy: 2 x Steel scimitar;Acquista: 2 x Scimitarra d'acciaio
Default quantity: 100,000;Quantità predefinita: 100.000
Buy: 1 x Studded body;Acquista: 1 x corpo borchiato
Deposit-100000;Deposito-100000
Beanspruchen;Beanspruchen
Smoke;Fumo
Last-destination (BJR);Ultima destinazione (BJR)
Deposit-250;Deposito-250
Withdraw-43;Ritiro-43
Withdraw-250;Ritiro-250
Deposit-43;Deposito-43
Default quantity: 18;Quantità predefinita: 18
Withdraw-1971;Ritiro-1971
Withdraw-1601;Ritiro-1601
Deposit-1601;Deposito-1601
Withdraw-552;Ritiro-552
Deposit-552;Deposito-552
Withdraw-5128;Ritiro-5128
Deposit-5128;Deposito-5128
Withdraw-72000;Prelievo-72000
Deposit-72000;Deposito-72000
Default quantity: 72,000;Quantità predefinita: 72.000
Default quantity: 26;Quantità predefinita: 26
Buy X;Compra X
Withdraw-1092;Ritiro-1092
Ring-last-destination (DLQ);Chiama l'ultima destinazione (DLQ)
Remove-decorations;Rimuovi-decorazioni
Jump on;Salta su
-1%;-1%
+1%;+1%
Pick-leaf;Pick-foglia
Last-destination (CJQ);Ultima destinazione (CJQ)
Throw-water direction;Direzione del getto d'acqua
Throw-water;Gettare l'acqua
Check-level;Controllo livello
Strike;Sciopero
Cut-branch;Ramo tagliato
Deposit-13000;Deposito-13000
Withdraw-13000;Prelievo-13000
Play-With;Gioca con
Trophies;Trofei
Talk-At;Talk-At
Deposit-7785;Deposito-7785
Withdraw-7785;Ritiro-7785
Mount;Montare
Unstuff;Non roba
Change-clothes;Cambio di vestiti
Detach;Stacca
Paint;Colore
Ring-last-destination (AJP);Chiama l'ultima destinazione (AJP)
Easter dance;Ballo di Pasqua
Dance;Ballare
Whack;Colpa
Divine;Divine
Duel;Duello
Invoke;Invocare
Change icon (herb run);Cambia icona (corsa alle erbe)
Look out;Attenzione
Last-destination (DIP);Ultima destinazione (DIP)
Ta Quir Priw;Ta Quir Priw
Deposit-9000;Deposito-9000
Withdraw-9000;Ritiro-9000
Vote Now;Vota adesso
Withdraw-144000;Prelievo-144000
Give;Dare
Withdraw-45;Ritiro-45
Deposit-45;Deposito-45
Sell: 1 x Plank;Vendo: 1 x tavola
Buy: 5 x Bolt of cloth;Acquista: 5 x Rotoli di stoffa
Withdraw-Notes;Note di ritiro
Remove-Placeholder;Rimuovi segnaposto
Remove-All-Placeholders;Rimuovi tutti i segnaposto
Pay (Redwood tree);Paga (albero di sequoia)
Collection-log;Registro della raccolta
View Tasks;Visualizza attività
Easy Tasks;Compiti facili
Lookup-boss;Capo della ricerca
Medium Tasks;Compiti medi
View Bosses;Visualizza i boss
Select <col=ff981f>Grandmaster;Seleziona <col=ff981f>Gran Maestro
Select <col=ff981f>Easy;Seleziona <col=ff981f>Facile
Select <col=ff981f>Medium;Seleziona <col=ff981f>Medio
View Rewards;Visualizza i premi
Select <col=ff981f>Master;Seleziona <col=ff981f>Maestro
Elite Tasks;Compiti d'élite
Hard Tasks;Compiti difficili
Select <col=ff981f>Elite;Seleziona <col=ff981f>Elite
Select <col=ff981f>Hard;Seleziona <col=ff981f>Difficile
Master Tasks;Compiti principali
Grandmaster Tasks;Compiti del Gran Maestro
Withdraw-150000;Prelievo-150000
Deposit-150000;Deposito-150000
Default quantity: 150,000;Quantità predefinita: 150.000
Withdraw-888;Ritiro-888
Clear-All;Cancella tutto
Climb-through;Salita
Withdraw-15000;Prelievo-15000
Deposit-15000;Deposito-15000
Withdraw-826;Ritiro-826
Withdraw-120;Ritiro-120
Deposit-19;Deposito-19
Default quantity: 3;Quantità predefinita: 3
Deposit-264;Deposito-264
Withdraw-264;Ritiro-264
Withdraw-119;Ritiro-119
Deposit-119;Deposito-119
Plank sack;Sacco di assi
Amy's saw;La sega di Amy
Carpenter's boots;Stivali da falegname
Carpenter's trousers;Pantaloni da falegname
Carpenter's shirt;Camicia da falegname
Hosidius blueprints;Progetti di Osidio
Supply crate;Cassa di rifornimento
Carpenter's helmet;Elmo da falegname
Withdraw-20;Ritiro-20
Deposit-20;Deposito-20
Deposit All from Inventory;Deposita tutto dall'inventario
Ghorrock Dungeon;Dungeon di Ghorrock
The Stranglewood;Lo Stranglewood
The Scar;La cicatrice
The Ancient Vault;L'antica volta
Lassar Undercity;Sepolcralia di Lassar
Skeletal Grasp;Presa scheletrica
Undead Grasp;Presa dei non morti
Take-from <col=00ffff>Fishing;Prendi da <col=00ffff>Pesca
Take-from <col=00ffff>Hunting;Prendi da <col=00ffff>Caccia
Take-from <col=00ffff>Herblore;Tratto da <col=00ffff>Herblore
Default quantity: 119;Quantità predefinita: 119
Deposit-888;Deposito-888
Decorate;Decorare
Carve;Scolpire
Buy: 1 x Iron pickaxe;Acquista: 1 piccone di ferro
Withdraw-12;Ritiro-12
Default quantity: 12;Quantità predefinita: 12
Deposit-12;Deposito-12
Boss list;Elenco dei capi
Pirate's Cove;La Baia dei Pirati
Island of Stone;Isola di pietra
Ungael;Ungael
Waterbirth Island;Isola della nascita in acqua
Default quantity: 448;Quantità predefinita: 448
Deposit-448;Deposito-448
Withdraw-448;Ritiro-448
Exit Speedrunning;Esci dallo Speedrunning
Default quantity: 20;Quantità predefinita: 20
Withdraw-11;Ritiro-11
Withdraw-6;Ritiro-6
Withdraw-2502;Ritiro-2502
Withdraw-30002;Ritiro-30002
Withdraw-3002;Ritiro-3002
Deposit-2502;Deposito-2502
Deposit-30002;Deposito-30002
Quick-travel;Viaggio veloce
Roll;Rotolo
Default quantity: 30,002;Quantità predefinita: 30.002
Step-over;Passo oltre
Menagerie (outdoors);Serraglio (all'aperto)
Menagerie (indoors);Serraglio (all'interno)
Hall - Quest trophies;Sala: trofei delle missioni
Buy: 5 x Stamina potion(4);Acquista: 5 pozioni di resistenza(4)
Default quantity: 3,728;Quantità predefinita: 3.728
Withdraw-3728;Ritiro-3728
Make <col=ff9040>Sapphire necklace</col>;Realizza <col=ff9040>Collana di zaffiri</col>
Darkmeyer;Darkmeyer
Slepe;Dormire
Ver Sinhaza;Vedi Sinhaza
Warrior's Guild;Gilda dei Guerrieri
Feldip Hills;Feldip Colline
Guild Teleports;Teletrasporto della gilda
Ring of Life;Anello della vita
Teleport Boat (Pandemonium);Barca di teletrasporto (Pandemonium)
Rename boat;Rinominare la barca
Skilling Areas;Aree di competenza
<col=f54927>Home</col>;<col=f54927>Casa</col>
Barbarian fishing;Pesca barbara
Otto's Grotto;La Grotta di Ottone
Stamina Boost;Aumento della resistenza
Rename Boat;Rinomina Barca
Teleports;Teletrasporta
Black chinchompas;Cincinnati neri
Carnivorous chinchompas;Cincincompa carnivori
POH Portals;Portali POH
Deposit-42;Deposito-42
Withdraw-42;Ritiro-42
The Darkfrost;Il gelo oscuro
<col=E89C46>Kastori</col>;<col=E89C46>Kastori</col>
Deposit-3728;Deposito-3728
Deposit-50;Deposito-50
Craft-goods;Articoli artigianali
Pass-to;Passare a
Mineral Pack;Pacchetto Minerale
Switch <col=ff8040>344</col>;Cambia <col=ff8040>344</col>
Join <col=ff8040>Pest Control</col> channel;Unisciti al canale <col=ff8040>Disinfestazione</col>
Teleport to <col=ff8040>Pest Control</col>;Teletrasportati al <col=ff8040>Disinfestazione</col>
Draw;Disegno
Count;Contare
She/her;Lei/lei
Select colour;Seleziona il colore
They/them;Loro/loro
Body type B;Tipo di carrozzeria B
Disable-XP;Disabilita XP
Store-axe;Ascia da negozio
Reset puzzle;Reimposta l'enigma
turn tile;girare la tessera
Sindarpos;Sindarpos
Evade;Eludere
Off/On;Spento/Acceso
Sell: 12 x Iron dagger;Vendita: 12 x Pugnale di ferro
Start-wave;Onda di partenza
Finish;Fine
Hoop;Cerchio
Make-helmet;Make-casco
Take-kettle;Bollitore
Recharge-whistle;Fischio di ricarica
Intimidate;Intimidire
Untangle;Districare
Tree Gnome Village;Villaggio degli Gnomi degli Alberi
Move down;Spostati giù
Move up;Vai su
Move right;Muoviti a destra
Turn-right;Girare a destra
Turn-left;Girare a sinistra
Move left;Spostati a sinistra
Turn clockwise;Girare in senso orario
Turn anti-clockwise;Girare in senso antiorario
Jeter;Jeter
Vérifier;Verificatore
Attaquer;Attaccante
Prendre;Prendre
Râteler;Râteler
Signaler;Segnalatore
Manier;Manier
Inspecter;Ispettore
