Follow;Suivre
Remove<col=ff9040> Focus;Supprimer<col=ff9040> ​​Focus
Default quantity: 57;Quantité par défaut : 57
Select option A;Sélectionnez l'option A
Deposit-208;Dépôt-208
Withdraw-208;Retrait-208
Withdraw-236;Retrait-236
Default quantity: 208;Quantité par défaut : 208
Stroke;Accident vasculaire cérébral
Pan;Poêle
Gem Mine;Mine de pierres précieuses
Mount Karuulm;Mont Karuulm
Kourend Woodland;Forêt de Kourend
Withdraw-195;Retrait-195
Withdraw-2400;Retrait-2400
Deposit-195;Dépôt-195
View Friends List;Afficher la liste d'amis
Add Name;Ajouter un nom
Delete Name;Supprimer le nom
Water;Eau
Open link;Ouvrir le lien
Default quantity: 195;Quantité par défaut : 195
Get-training;Se former
Bank-cargo;Cargaison bancaire
Honour;Honneur
Close storage tab;Fermer l'onglet de stockage
Charter-to Port Piscarilius;Charter vers Port Piscarilius
Direct-portal;Portail direct
Deepfin Point;Pointe des ailerons profonds
Quiver-Remove;Carquois-Supprimer
Assign;Attribuer
Port Roberts;Port-Roberts
Check-ammunition;Contrôle des munitions
Command;Commande
Change loadout name;Changer le nom du chargement
Default quantity: 50,000;Quantité par défaut : 50 000
Open storage tab;Ouvrir l'onglet de stockage
Reset-ammunition;Munitions de réinitialisation
Stop following Captain's target;Arrêtez de suivre la cible du capitaine
Clear target;Cible claire
Unassign;Annuler l'attribution
Assign to crew slot 5;Attribuer à l'emplacement d'équipage 5
Assign to crew slot 1;Attribuer à l'emplacement d'équipage 1
Jatizso;Jatizso
Clear crew slot 1;Effacer l'emplacement d'équipage 1
Clear crew slot 5;Effacer l'emplacement d'équipage 5
Neitiznot;Neitiznot
Follow Captain's target;Suivez la cible du capitaine
Cancel task;Annuler la tâche
Set Hotkey (A);Définir le raccourci clavier (A)
Set Hotkey (3);Définir le raccourci clavier (3)
Set Hotkey (7);Définir le raccourci clavier (7)
Set Hotkey (4);Définir le raccourci clavier (4)
Set Hotkey (8);Définir le raccourci clavier (8)
Pay (Celastrus tree);Payer (arbre Celastrus)
Pay (Spirit tree);Payer (Arbre spirituel)
Set Hotkey (9);Définir le raccourci clavier (9)
Pick-coconut;Cueillette de noix de coco
Set Hotkey (F);Définir le raccourci clavier (F)
Set Hotkey (B);Définir le raccourci clavier (B)
Set Hotkey (D);Définir le raccourci clavier (D)
Set Hotkey (C);Définir le raccourci clavier (C)
Set Hotkey (5);Définir le raccourci clavier (5)
Set Hotkey (6);Définir le raccourci clavier (6)
Deposit-420000;Dépôt-420000
Withdraw-420000;Retrait-420000
Default quantity: 420,000;Quantité par défaut : 420 000
Last-destination (CJR);Dernière destination (CJR)
Last-destination (CIQ);Dernière destination (CIQ)
Last-destination (CIR);Dernière destination (CIR)
Hang-over;Gueule de bois
Withdraw-5529;Retrait-5529
Deposit-5529;Dépôt-5529
Default quantity: 5,529;Quantité par défaut : 5 529
Ardougne Farm;Ferme d'Ardougne
Dump;Décharge
Withdraw 3;Retirer 3
Alchemy;Alchimie
Withdraw 4;Retirer 4
Energy;Énergie
Withdraw 1;Retirer 1
Signal;Signal
Withdraw X;Retirer X
Rumour;Rumeur
Pay (south-west);Payer (sud-ouest)
Pay (north-east);Payer (nord-est)
Pay (tree patch);Payer (patch d'arbre)
Glade;Clairière
Ring-last-destination (AKQ);Sonner la dernière destination (AKQ)
Release wind mote;Relâchez la paille du vent
Release-mote;Libération-mote
Retrieve;Récupérer
Rod-fish;Canne à poisson
Summon;Convoquer
Remove-Favourite;Supprimer les favoris
Pick-dragonfruit;Cueillette de fruit du dragon
Remove Favourite;Supprimer le favori
Functions;Fonctions
Last-destination (DLP);Dernière destination (DLP)
Break-crystals;Briser les cristaux
Work-at;Travailler à
Start-previous-rank;Début-classement-précédent
Start-trial;Début de l'essai
Jump-across;Saut à travers
Last-destination (ALP);Dernière destination (ALP)
Sell: 3 x Iron arrow;Vendre : 3 x Flèche de fer
Quick-Pay(100);Paiement rapide(100)
Send-parcel;Envoyer-colis
Reset Safe;Réinitialiser le coffre-fort
Set to 9;Réglé sur 9
Raise an Octave.;Élevez une octave.
Previous Page.;Page précédente.
Next page.;Page suivante.
Release all placeholders (89);Libérer tous les espaces réservés (89)
High-Alchemy;Haute-Alchimie
Preach;Prêcher
Config;Configuration
Southern entrance;Entrée sud
Middle entrance;Entrée du milieu
Northern entrance;Entrée nord
Deposit loot;Dépôt du butin
Lithkren Dungeon;Donjon de Lithkren
Climb Down;Descendre
Seeds;Graines
Stun;Étourdir
Digsite;Site de fouilles
Set Hotkey (M);Définir le raccourci clavier (M)
Dondakan's Rock;Le Rocher de Dondakan
Set Hotkey (I);Définir le raccourci clavier (I)
Set Hotkey (K);Définir le raccourci clavier (K)
Set Hotkey (N);Définir le raccourci clavier (N)
Set Hotkey (L);Définir le raccourci clavier (L)
Last-destination (ALS);Dernière destination (ALS)
Descend;Descendre
Weiss;Blanc
Withdraw-503;Retrait-503
Scoreboard;Tableau de bord
Withdraw-38;Retrait-38
Default quantity: 38;Quantité par défaut : 38
Withdraw-25;Retrait-25
Withdraw-604;Retrait-604
Deposit-26;Dépôt-26
Withdraw-26;Retrait-26
Deposit-25;Dépôt-25
Withdraw-220;Retrait-220
Deposit-36;Dépôt-36
Deposit-115;Dépôt-115
Withdraw-115;Retrait-115
Withdraw-36;Retrait-36
Standard;Standard
Play-fetch;Jouer-récupérer
Climb up;Grimper
Lletya;Lletya
Default quantity: 115;Quantité par défaut : 115
Target;Cible
Activity;Activité
Enter-corrupted;Entrée-corrompu
Area Mode;Mode zone
Single Mode;Mode unique
Skip Track;Sauter une piste
Sing-crystal;Chanter-cristal
Fill-from;Remplir à partir de
Set Hotkey (2);Définir le raccourci clavier (2)
Set Hotkey (1);Définir le raccourci clavier (1)
Slayer Master;Maître tueur
Unblock;Débloquer
Raise;Augmenter
Raise net;Lever le filet
Lower net;Filet inférieur
Lower;Inférieur
Claim-slime;Réclamation-slime
Port Phasmatys;Port Phasmatys
Charter-to Port Phasmatys;Affrètement au port Phasmatys
Deposit-4;Dépôt-4
Default quantity: 4;Quantité par défaut : 4
Withdraw-40000;Retrait-40000
Deposit-40000;Dépôt-40000
Buy: 1 x Green dragonhide set;Acheter: 1 x Ensemble de peau de dragon vert
Poke;Pousser
Jump off;Sauter
Burgh Teleport;Téléportation de Burgh
Ecto Teleport;Téléportation Ecto
Withdraw-1168;Retrait-1168
Deposit-1168;Dépôt-1168
Store-preform;Magasin-préforme
Commission;Commission
Quench-preform;Préforme de trempe
Heat-preform;Préforme thermique
Cool-preform;Cool-préforme
Hand-in;Remettre
Dunk-preform;Dunk-préforme
Pour;Verser
Last-destination (CKP);Dernière destination (CKP)
Look-over;Parcourir
Awaken;Éveiller
Fuel;Carburant
Next page;Page suivante
New partner;Nouveau partenaire
Remove from playlist 1;Supprimer de la playlist 1
Default quantity: 40,000;Quantité par défaut : 40 000
Ascend;Monter
Deposit-2194;Dépôt-2194
Withdraw-2194;Retrait-2194
Default quantity: 2,194;Quantité par défaut : 2 194
Destruir;Détruire
Deposit-300;Dépôt-300
Withdraw-300;Retrait-300
Claim-runes;Runes de réclamation
Step-into;Entrez dans
Default quantity: 300;Quantité par défaut : 300
Withdraw-2253;Retrait-2253
Withdraw-31;Retrait-31
Withdraw-2236;Retrait-2236
Deposit-2236;Dépôt-2236
Withdraw-2539;Retrait-2539
Withdraw-5408;Retrait-5408
Withdraw-527;Retrait-527
Default quantity: 15;Quantité par défaut : 15
Set Hotkey (E);Définir le raccourci clavier (E)
Cut-vine;Vigne coupée
Camarones;Camarones
Hardcore Ironman Group;Groupe Ironman hardcore
Default quantity: 2,236;Quantité par défaut : 2 236
Deposit-680;Dépôt-680
Withdraw-680;Retrait-680
Rescue;Sauvetage
Default quantity: 680;Quantité par défaut : 680
Deposit-4328;Dépôt-4328
Withdraw-4328;Retrait-4328
Withdraw-4952;Retrait-4952
Withdraw-5944;Retrait-5944
Deposit-4952;Dépôt-4952
Default quantity: 4,952;Quantité par défaut : 4 952
Default quantity: 5,944;Quantité par défaut : 5 944
Withdraw-8376;Retrait-8376
Withdraw-8480;Retrait-8480
Deposit-8376;Dépôt-8376
Spring;Printemps
Safety switch;Interrupteur de sécurité
Gear;Engrenage
Withdraw-11896;Retrait-11896
Deposit-11896;Dépôt-11896
Gandius;Gandius
Kar-Hewo;Kar-Hewo
Swing;Balançoire
Craft-repair-kits;Kits de réparation artisanaux
Craft-hull-parts;Pièces-de-coque-craft
Contact Master;Contacter le maître
View Laps;Afficher les tours
Tarn's Lair;Le repaire du Tarn
Dark Beasts;Bêtes sombres
Slayer Tower;Tour des tueurs
Toggle Counter;Basculer le compteur
Open Log;Ouvrir le journal
Stronghold;Bastion
Fremennik Dungeon;Donjon de Fremennik
Parler Ã ;Parler à 
Retirer-X;Supprimer-X
Activer;Actif
Retirer-5;Supprimer-5
Suivre;Suivre
Retirer-1;Supprimer-1
Rapport;Rapport
Retirer-tout;Retirer-tout
Retirer-10;Retirer-10
Configurer;Configurateur
Retirer-tout-sauf-1;Retirer-tout-sauf-1
Commerce;Commerce
Marchez ici;Marchez ici
Ã‰changez avec;Échangez avec
Descendre;Descendre
Banque;Banque
Abattre;Abattre
Collecter;Collectionneur
Ouvrir;Ouvrir
Remove-one;Supprimer un
Lap-count;Nombre de tours
Cooking;Cuisson
Default quantity: 11,896;Quantité par défaut : 11 896
Ban guest;Interdire un invité
Kick guest;Kick invité
Assemble;Assembler
Quick-Board;Planche rapide
Move Schematic Left;Déplacer le schéma vers la gauche
Select Schematic Two;Sélectionnez le schéma deux
Select Schematic One;Sélectionnez le schéma 1
Select Schematic Three;Sélectionnez le schéma trois
Move Schematic Down;Déplacer le schéma vers le bas
Move Schematic Up;Déplacer le schéma vers le haut
Rotate the image;Faire pivoter l'image
Move Schematic Right;Déplacer le schéma vers la droite
Jump-through;Passer à travers
Withdraw-29;Retrait-29
Deposit-29;Dépôt-29
Default quantity: 29;Quantité par défaut : 29
Set Hotkey (J);Définir le raccourci clavier (J)
Set Hotkey (O);Définir le raccourci clavier (O)
Set Hotkey (H);Définir le raccourci clavier (H)
Set Hotkey (G);Définir le raccourci clavier (G)
Last-destination (BJS);Dernière destination (BJS)
Check-permissions;Vérifier les autorisations
Background-music;Musique de fond
Play-quietly;Jouer tranquillement
Entertain;Divertir
Disarm;Désarmer
Sync WOM Group;Synchroniser le groupe WOM
Withdraw-800;Retrait-800
Deposit-800;Dépôt-800
Retrieve-egg;Récupérer l'oeuf
Expanded;Étendu
Preview auto layout;Aperçu de la mise en page automatique
Toggle warning;Activer/désactiver l'avertissement
Climb through;Grimper à travers
Check count;Nombre de chèques
Withdraw-150;Retrait-150
Disassemble;Démonter
Deposit-150;Dépôt-150
Gloomthorn Trail;Sentier Gloomthorn
Make party;Faire la fête
Destinations;Destinations
Reload;Recharger
Disband;Dissoudre
Advertise (15);Annoncer (15)
Set-difficulty;Définir-difficulté
Claim-cape;Cape de réclamation
Attract;Attirer
Start raid;Commencer le raid
Impale;Empaler
Bank all;Banque tout
Smoke Barrage;Barrage de fumée
Smoke Blitz;Blitz de fumée
Blood Blitz;Blitz de sang
Smoke Burst;Éclat de fumée
Ice Barrage;Barrage de glace
Douse;Éteindre
Blood Barrage;Barrage de sang
Shadow Blitz;Blitz de l’Ombre
Dispel;Dissiper
Shadow Barrage;Barrage d'Ombre
Reap;Recueillir
Bank-all;Banque-tout
Inferior Demonbane;Démonbane inférieur
North Aldarin;Aldarin du Nord
Darkfrost;Givre sombre
Ralos' Rise;L'ascension de Ralos
Deposit runes;Déposer des runes
Twilight Temple;Temple du Crépuscule
Nemus Retreat;Retraite Nemus
Superior Demonbane;Démonbane supérieur
Dark Demonbane;Banc démoniaque sombre
Delve-stats;Statistiques de fouille
Claim and leave;Réclamer et partir
General-stats;Statistiques générales
Teleport to <col=ff8040>Clan Wars</col>;Téléportation vers <col=ff8040>Guerres de clans</col>
Join <col=ff8040>Clan Wars</col> channel;Rejoignez la chaîne <col=ff8040>Guerres de clans</col>
Use this layout;Utilisez cette mise en page
Withdraw-80;Retrait-80
Quick-slide;Glissement rapide
Slide;Glisser
Visual-effects;Effets visuels
Toggle-talisman;Talisman à bascule
Deposit-runes;Dépôt de runes
Power-up;Mise sous tension
Take-chisel;Prendre un ciseau
Place-cell;Placer une cellule
Take-1;Prise-1
Dark Mage;Mage noir
View-stats;Voir les statistiques
View-glory;Vue-gloire
Pluck;Cueillir
Inflate;Gonfler
Claim-arrows;Flèches de réclamation
Release All;Libérer tout
Walk through;Parcourez
Claim-hats;Chapeaux de réclamation
Check kills;Vérifier les tueries
Check-on;Enregistrement
Take-uniform;Prendre l'uniforme
Listen-at;Écouter
Watermill;Moulin à eau
Mines;Mines
Cellar;Cave
Buy-sphere;Sphère d'achat
Untie;Délier
Attach/Detach Pipe;Attacher/Détacher le tuyau
Glider-to Gandius;Planeur vers Gandius
Take-sigil;Prendre le sceau
Take-net;Filet à prendre
Melt;Fondre
Reinvigorate;Revigorer
Take-rock;Prendre du rock
Kalphite cave;Grotte kalphite
Nardah;Nardah
Make unfinished potion(s);Faire des potions inachevées
Pages;Pages
Trollheim;Trollheim
Discard-All;Jeter tout
Remove-room;Supprimer la pièce
Make <col=ff9040>Gold ring</col>;Fabriquer une <col=ff9040>Bague en or</col>
Make <col=ff9040>Gold necklace</col>;Fabriquer un <col=ff9040>Collier en or</col>
Swing across;Balancez-vous à travers
Pick-orange;Cueillette d'orange
Buy: 5 x Ranarr seed;Acheter: 5 x graines de Ranarr
Deposit buckets;Seaux de dépôt
Claim Sand;Réclamez du sable
Ferry;Traversier
Surface;Surface
Solo-start;Démarrage en solo
Rotate-right;Rotation à droite
Fill-jug;Pichet de remplissage
Align;Aligner
Rotate-left;Rotation à gauche
Rebalance;Rééquilibrer
Cleanse;Purifier
Grab-feather;Plume à saisir
Level;Niveau
Set Junction;Définir la jonction
Control;Contrôle
Return;Retour
Listen-to;Écouter
Crawl-down;Analyse vers le bas
Start;Commencer
Use-Driftwood;Utilisation-Bois flotté
View Stats;Afficher les statistiques
Refresh Data;Actualiser les données
Repairs;Réparations
Folgen;Folgen
Attacke;Attaqué
Nehmen;Nehmen
Entfernen;Entrées
Bericht;Bericht
Handeln mit;Handeln mit
Fällen;Déchu
Ausloggen;Ausloggen
Ausüben;Ausüben
Tropfen;Tropfen
Suchen;Suchen
Verwenden;Verwenden
Beten;Béten
Taschendieb;Taschendieb
Handeln;Handeln
Eingeben;Eingeben
Austausch;Austausch
Herabsteigen;Herbsteigen
Hochklettern;Lettre haute
Sammeln;Échantillon
Kochen;Cuisine
Kaution;Attention
Stehlen von;Stehlen von
Tragen;Tragen
Essen;Essen
aktivieren Sie;activer votre entreprise
Sicht;voir
Beute;Beute
Bauen;Bauen
Earth Strike;Frappe terrestre
+30%;+30%
Offer-fish;Offre-poisson
-30%;-30%
Place;Lieu
Big-push;Grande poussée
Unhide;Afficher
Stint;Besogne assignée
Preise;Prix
Geschichte;Geschichte
Gießen;Giessen
Crack;Fissure
Ignorieren hinzufügen;Ignorer les indications
Wert;Wert
Freund hinzufügen;Freund hinzufügen
Heim;Heim
Baumodus;Baumodus
Haus eines Freundes;Maison d'amis
Besorgen;Besörgen
Climb-under;Grimper sous
Jump-Over;Franchir
Store<col=ff9040>;Magasin<col=ff9040>
Preen;Se lisser les plumes
Tether;Attache
Forfeit;Perdre
Cook-at;Cuisiner à
Check-ammo;Contrôle des munitions
Untether;Détacher
Last-destination (BIQ);Dernière destination (BIQ)
Last-destination (BIS);Dernière destination (BIS)
Last-destination (BIP);Dernière destination (BIP)
Crown Info;Informations sur la couronne
Last-destination (BLR);Dernière destination (BLR)
Complete;Complet
Climb over;Grimper
Withdraw-56;Retrait-56
Default quantity: 56;Quantité par défaut : 56
Smash-to-bits;Écraser en morceaux
Enchant-Vials;Fioles d'enchantement
Trade-Co-op;Coopérative commerciale
Trade-Drinks;Boissons commerciales
Squeeze-Through;Passage à travers
Fly;Voler
Relax;Se détendre
Sandbags;Sacs de sable
Tug;Remorqueur
Logs;Journaux
Bail;Caution
Emergency tug;Remorqueur d'urgence
Preferences;Préférences
Games room;Salle de jeux
Combat room;Salle de combat
Dining room;Salle à manger
Re-light;Rallumer
Ring-last-destination (AIP);Sonner la dernière destination (AIP)
Spin-globe;Globe tournant
Take-candy;Prendre des bonbons
Set destination;Définir la destination
Teleport to destination;Téléportation à destination
eat;manger
Cast Spell;Lancer un sort
Lift;Ascenseur
Sell: 28 x Bucket of water;Vendre : 28 x Seau d'eau
Buy: 350 x Bucket;Acheter: 350 x Seau
Sell: 392 x Bucket of water;Vendre : 392 x Seau d'eau
Withdraw-9;Retrait-9
Deposit-9;Dépôt-9
Withdraw-27;Retrait-27
Deposit-27;Dépôt-27
Sell: 500 x Logs;Vendre : 500 x bûches
Default quantity: 27;Quantité par défaut : 27
Sell: 494 x Banana;Vendre : 494 x Banane
Sell: 390 x Banana;Vendre : 390 x Banane
Buy: 400 x Bones;Acheter: 400 x Os
Sell: 300 x Banana;Vendre : 300 x Banane
cast;casting
Sell: 416 x Banana;Vendre : 416 x Banane
Default quantity: 9;Quantité par défaut : 9
Sell: 100 x Pastry dough;Vendre : 100 x Pâte à pâtisserie
Buy: 200 x Pot of flour;Acheter: 200 x Pot de farine
Sell: 1,064 x Bucket of water;Vendre : 1 064 x Seau d'eau
Sell: 252 x Bucket of water;Vendre : 252 x Seau d'eau
Toggle-minerals;Basculer les minéraux
Take-bowl;Bol à emporter
Accept exchange;Accepter l'échange
Insert coin;Insérer une pièce
Cancel exchange;Annuler l'échange
Use col;Utiliser col
Activate machine;Activer la machine
Unlock machine;Déverrouiller l'appareil
Cancel operation;Annuler l'opération
Rank;Rang
Sell: 1,010 x Banana;Vendre : 1 010 x Banane
Last-destination (CIP);Dernière destination (CIP)
Set name;Définir le nom
wield;exercer
Sell: 99 x Bones;Vendre : 99 x Os
Sell: 23 x Logs;Vendre : 23 x bûches
Withdraw-25000000;Retrait-25000000
Sell: 1 x Old school bond;Vendre : 1 x obligation de la vieille école
Withdraw-100000;Retrait-100000
Deposit-25000000;Dépôt-25000000
Buy: 2 x Steel scimitar;Acheter: 2 x Cimeterre en acier
Default quantity: 100,000;Quantité par défaut : 100 000
Buy: 1 x Studded body;Acheter: 1 x Corps clouté
Deposit-100000;Dépôt-100000
Beanspruchen;Pommes de terre
Smoke;Fumée
Last-destination (BJR);Dernière destination (BJR)
Deposit-250;Dépôt-250
Withdraw-43;Retrait-43
Withdraw-250;Retrait-250
Deposit-43;Dépôt-43
Default quantity: 18;Quantité par défaut : 18
Withdraw-1971;Retrait-1971
Withdraw-1601;Retrait-1601
Deposit-1601;Dépôt-1601
Withdraw-552;Retrait-552
Deposit-552;Dépôt-552
Withdraw-5128;Retrait-5128
Deposit-5128;Dépôt-5128
Withdraw-72000;Retrait-72000
Deposit-72000;Dépôt-72000
Default quantity: 72,000;Quantité par défaut : 72 000
Default quantity: 26;Quantité par défaut : 26
Buy X;Acheter X
Withdraw-1092;Retrait-1092
Ring-last-destination (DLQ);Sonner la dernière destination (DLQ)
Remove-decorations;Supprimer les décorations
Jump on;Sautez dessus
-1%;-1%
+1%;+1%
Pick-leaf;Feuille de pioche
Last-destination (CJQ);Dernière destination (CJQ)
Throw-water direction;Direction du jet d'eau
Throw-water;Jeter de l'eau
Check-level;Niveau de contrôle
Strike;Grève
Cut-branch;Branche coupée
Deposit-13000;Dépôt-13000
Withdraw-13000;Retrait-13000
Play-With;Jouer avec
Trophies;Trophées
Talk-At;Parler à
Deposit-7785;Dépôt-7785
Withdraw-7785;Retrait-7785
Mount;Monter
Unstuff;Débourrer
Change-clothes;Changer de vêtements
Detach;Détacher
Paint;Peinture
Ring-last-destination (AJP);Sonner la dernière destination (AJP)
Easter dance;Danse de Pâques
Dance;Danse
Whack;Battre
Divine;Divin
Duel;Duel
Invoke;Invoquer
Change icon (herb run);Changer d'icône (parcours aux herbes)
Look out;Attention
Last-destination (DIP);Dernière destination (DIP)
Ta Quir Priw;Ta Quir Priw
Deposit-9000;Dépôt-9000
Withdraw-9000;Retrait-9000
Vote Now;Votez maintenant
Withdraw-144000;Retrait-144000
Give;Donner
Withdraw-45;Retrait-45
Deposit-45;Dépôt-45
Sell: 1 x Plank;Vendre : 1 x planche
Buy: 5 x Bolt of cloth;Acheter: 5 x Rouleau de tissu
Withdraw-Notes;Notes de retrait
Remove-Placeholder;Supprimer l'espace réservé
Remove-All-Placeholders;Supprimer tous les espaces réservés
Pay (Redwood tree);Payer (Séquoia)
Collection-log;Journal de collecte
View Tasks;Afficher les tâches
Easy Tasks;Tâches faciles
Lookup-boss;Chef de recherche
Medium Tasks;Tâches moyennes
View Bosses;Voir les patrons
Select <col=ff981f>Grandmaster;Sélectionnez <col=ff981f>Grand maître
Select <col=ff981f>Easy;Sélectionnez <col=ff981f>Facile
Select <col=ff981f>Medium;Sélectionnez <col=ff981f>Moyen
View Rewards;Voir les récompenses
Select <col=ff981f>Master;Sélectionnez <col=ff981f>Maître
Elite Tasks;Tâches d'élite
Hard Tasks;Tâches difficiles
Select <col=ff981f>Elite;Sélectionnez <col=ff981f>Élite
Select <col=ff981f>Hard;Sélectionnez <col=ff981f>Difficile
Master Tasks;Tâches principales
Grandmaster Tasks;Tâches de grand maître
Withdraw-150000;Retrait-150000
Deposit-150000;Dépôt-150000
Default quantity: 150,000;Quantité par défaut : 150 000
Withdraw-888;Retrait-888
Clear-All;Tout effacer
Climb-through;Traversée
Withdraw-15000;Retrait-15000
Deposit-15000;Dépôt-15000
Withdraw-826;Retrait-826
Withdraw-120;Retrait-120
Deposit-19;Dépôt-19
Default quantity: 3;Quantité par défaut : 3
Deposit-264;Dépôt-264
Withdraw-264;Retrait-264
Withdraw-119;Retrait-119
Deposit-119;Dépôt-119
Plank sack;Sac de planches
Amy's saw;La scie d'Amy
Carpenter's boots;bottes de menuisier
Carpenter's trousers;Pantalon de menuisier
Carpenter's shirt;Chemise de menuisier
Hosidius blueprints;Plans d'Hosidius
Supply crate;Caisse de ravitaillement
Carpenter's helmet;Casque de charpentier
Withdraw-20;Retrait-20
Deposit-20;Dépôt-20
Deposit All from Inventory;Déposer tout depuis l'inventaire
Ghorrock Dungeon;Donjon de Ghorrock
The Stranglewood;Le Bois étranglé
The Scar;La cicatrice
The Ancient Vault;La voûte antique
Lassar Undercity;Lassar Fossoyeuse
Skeletal Grasp;Prise squelettique
Undead Grasp;Emprise des morts-vivants
Take-from <col=00ffff>Fishing;À emporter <col=00ffff>Pêche
Take-from <col=00ffff>Hunting;Prise de <col=00ffff>Chasse
Take-from <col=00ffff>Herblore;Extrait de <col=00ffff>Herblore
Default quantity: 119;Quantité par défaut : 119
Deposit-888;Dépôt-888
Decorate;Décorer
Carve;Tailler
Buy: 1 x Iron pickaxe;Acheter: 1 x Pioche en fer
Withdraw-12;Retrait-12
Default quantity: 12;Quantité par défaut : 12
Deposit-12;Dépôt-12
Boss list;Liste des patrons
Pirate's Cove;La Crique des Pirates
Island of Stone;Île de pierre
Ungael;Ungael
Waterbirth Island;Île de naissance de l'eau
Default quantity: 448;Quantité par défaut : 448
Deposit-448;Dépôt-448
Withdraw-448;Retrait-448
Exit Speedrunning;Quitter le speedrun
Default quantity: 20;Quantité par défaut : 20
Withdraw-11;Retrait-11
Withdraw-6;Retrait-6
Withdraw-2502;Retrait-2502
Withdraw-30002;Retrait-30002
Withdraw-3002;Retrait-3002
Deposit-2502;Dépôt-2502
Deposit-30002;Dépôt-30002
Quick-travel;Voyage rapide
Roll;Rouler
Default quantity: 30,002;Quantité par défaut : 30 002
Step-over;Enjambement
Menagerie (outdoors);Ménagerie (extérieur)
Menagerie (indoors);Ménagerie (à l'intérieur)
Hall - Quest trophies;Hall - Trophées de quête
Buy: 5 x Stamina potion(4);Acheter: 5 x Potion d'endurance(4)
Default quantity: 3,728;Quantité par défaut : 3 728
Withdraw-3728;Retrait-3728
Make <col=ff9040>Sapphire necklace</col>;Fabriquer un <col=ff9040>Collier saphir</col>
Darkmeyer;Darkmeyer
Slepe;Dormir
Ver Sinhaza;Ver Sinhaza
Warrior's Guild;Guilde des guerriers
Feldip Hills;Collines Feldip
Guild Teleports;Téléportations de guilde
Ring of Life;Anneau de vie
Teleport Boat (Pandemonium);Bateau de téléportation (Pandemonium)
Rename boat;Renommer le bateau
Skilling Areas;Domaines de compétences
<col=f54927>Home</col>;<col=f54927>Accueil</col>
Barbarian fishing;Pêche barbare
Otto's Grotto;Grotte d'Otton
Stamina Boost;Boost d'endurance
Rename Boat;Renommer le bateau
Teleports;Téléportations
Black chinchompas;Chinchonpas noirs
Carnivorous chinchompas;Chinchonpas carnivores
POH Portals;Portails POH
Deposit-42;Dépôt-42
Withdraw-42;Retrait-42
The Darkfrost;Le Givre Sombre
<col=E89C46>Kastori</col>;<col=E89C46>Kastori</col>
Deposit-3728;Dépôt-3728
Deposit-50;Dépôt-50
Craft-goods;Produits artisanaux
Pass-to;Passer à
Mineral Pack;Pack Minéral
Switch <col=ff8040>344</col>;Changer <col=ff8040>344</col>
Join <col=ff8040>Pest Control</col> channel;Rejoignez la chaîne <col=ff8040>Lutte antiparasitaire</col>
Teleport to <col=ff8040>Pest Control</col>;Téléportation vers <col=ff8040>Contrôle antiparasitaire</col>
Draw;Dessiner
Count;Compter
She/her;Elle/elle
Select colour;Sélectionnez la couleur
They/them;Ils/eux
Body type B;Type de carrosserie B
Disable-XP;Désactiver-XP
Store-axe;Hache de magasin
Reset puzzle;Réinitialiser l'énigme
turn tile;tourner la tuile
Sindarpos;Sindarpos
Evade;Éluder
Off/On;Arrêt/Marche
Sell: 12 x Iron dagger;Vendre : 12 x Dague de fer
Start-wave;Vague de départ
Finish;Finition
Hoop;Cerceau
Make-helmet;Faire un casque
Take-kettle;Bouilloire à emporter
Recharge-whistle;Sifflet de recharge
Intimidate;Intimider
Untangle;Démêler
Tree Gnome Village;Village des Gnomes des Arbres
Move down;Descendre
Move up;Monter
Move right;Déplacer à droite
Turn-right;Tournez à droite
Turn-left;Tourner à gauche
Move left;Déplacer vers la gauche
Turn clockwise;Tourner dans le sens des aiguilles d'une montre
Turn anti-clockwise;Tourner dans le sens inverse des aiguilles d'une montre
Jeter;Jeter
Vérifier;Vérifier
Attaquer;Attaquer
Prendre;Prendre
Râteler;Râteler
Signaler;Signaleur
Manier;Manier
Inspecter;Inspecteur
Manger;Crèche
Utiliser;Utiliser
Fouiller;Fouiller
Parler à;Parler à
Enterrer;Entré
Monter;Monter
Échanger;Échangeur
Détruire;Détruire
Fermer;Fermer
Frotter;Frotter
Voler à la tire;Voler à la tire
Réclamer;Réclamer
Fondre;Fondre
Forger;Faussaire
Cuisiner;Cuisinier
Étage supérieur;Étage supérieur
Déposer;Déposer
Sortie;Sortie
Say-name;Dire-nom
Add;Ajouter
Adjust;Ajuster
Gnome Stronghold;Forteresse des Gnomes
Withdraw-8902;Retrait-8902
Deposit-8902;Dépôt-8902
Last-destination (ALQ);Dernière destination (ALQ)
View Channel;Voir la chaîne
Default quantity: 8,902;Quantité par défaut : 8 902
Tracker;Traqueur
Goal;But
Set to XP value;Définir sur la valeur XP
Set to current XP;Régler sur XP actuel
Set to level;Régler au niveau
Étage inférieur;Étage inférieur
Activer/Désactiver;Activer/Désactiver
Activer/Désactiver les avertissements;Activer/Désactiver les avertissements
Réclamer les trophées;Réclamer les trophées
Porter;Porter
Entrer;Entrer
Filet;Filet
Appât;Appât
Monter à bord;Monter à bord
S'agripper;S'agripper
Prier à;Prier à
Trancher;Trancheuse
Lire;lires
Miner;Mineur
Retirer;Supprimer
Armure;Armure
Withdraw-305;Retrait-305
Withdraw-378;Retrait-378
Deposit-378;Dépôt-378
Bind;Lier
Crawl;Crawl
